Partner code,POS,GB,$txn,Profit,Markup,Fee,Tax
PTM_GO2EU,PTM,,,,Yes,Yes,Yes
PTM_PATOCHAN,PTM,,,,Yes,Yes,Yes
HAA_EHOTELBASE,HAA,,,,Yes,Yes,Yes
HAA_PJTRAVEL,HAA,,,,Yes,Yes,Yes
HAA_HOLIDAYCONCEPTS,HAA,,,,Yes,Yes,Yes
HAA_TOURISTAUSTRALIA,HAA,,,,Yes,Yes,Yes
HAA_TOURAMA,HAA,,,,Yes,Yes,Yes
HAA_HOTELSAUSTRALIA,HAA,,,,Yes,Yes,Yes
HAA_THELASTROOM,HAA,,,,Yes,Yes,Yes
HAA_EMAILCASH,HAA,,,,Yes,Yes,Yes
HAA_IWANTTHATHOTEL,HAA,,,,Yes,Yes,Yes
HAA_INSIGHTGUIDES,HAA,,,,Yes,Yes,Yes
HAA_SIMPLYLUSH,HAA,,,,Yes,Yes,Yes
HAA_WONDERFULPACIFIC,HAA,,,,Yes,Yes,Yes
ECOSEA,ECOSEA,,,,Yes,Yes,Yes
HAA_HTRAVEL,HAA,,,,Yes,Yes,Yes
PTM_SPHSTAFF,PTM,,,,Yes,Yes,Yes
HAA_LEVELHOTEL,HAA,,,,Yes,Yes,Yes
PTM_HCSTAFF,PTM,,Yes,,,,
HAA_INTERLINEESCAPES,HAA,,,,Yes,Yes,Yes
PTM_SLEEPINGOUT,PTM,,,,Yes,Yes,Yes
HAA_CASABLANCA,HAA,,,,Yes,Yes,Yes
PTM_BRIDGEPACIFIC,PTM,,,,Yes,Yes,Yes
HAA_MELBOURNEONTHEWE,HAA,,,,Yes,Yes,Yes
PTM_HELLONZ,PTM,,,,Yes,Yes,Yes
PTM_HAVEFUNTRAVEL,PTM,,,,Yes,Yes,Yes
PTM_ACCOMX,PTM,,,,Yes,Yes,Yes
HAA_I4U,HAA,,,,Yes,Yes,Yes
HAA_ORIGINALAUSTRALI,HAA,,,,Yes,Yes,Yes
PTM_VIRGIN_STAFF,PTM,,,,Yes,Yes,Yes
HAA_HOTELSJETSET,HAA,,,,Yes,Yes,Yes
HAA_VCARIOUS,HAA,,,,Yes,Yes,Yes
HAA_UNIVERSALTRAVEL,HAA,,,,Yes,Yes,Yes
PTM_EUROSTARSTAFF,PTM,,,,Yes,Yes,Yes
HAA_ASKMAPS,HAA,,,,Yes,Yes,Yes
PTM_EASYVOYAGESTAFF,PTM,,,,Yes,Yes,Yes
HAA_DIRECTHOTELS,HAA,,,,Yes,Yes,Yes
PTM_NEWZEALANDTOURIS,PTM,,,,Yes,Yes,Yes
HAA_KIDSHOLIDAYSONLI,HAA,,,,Yes,Yes,Yes
HAA_VISITORGUIDE,HAA,,,,Yes,Yes,Yes
HAA_WORLDSTAYS,HAA,,,,Yes,Yes,Yes
HAA_NICESTAY,HAA,,,,Yes,Yes,Yes
HAA_LIFECHANGINGHOLI,HAA,,,,Yes,Yes,Yes
HAA_GDAYMATE,HAA,,,,Yes,Yes,Yes
PTM_COLATOUR,PTM,,,,Yes,Yes,Yes
HAA_HOTELLIIN,HAA,,,,Yes,Yes,Yes
HAA_WEBWOMBAT,HAA,,,,Yes,Yes,Yes
HAA_TRAVELDIRECTORY,HAA,,,,Yes,Yes,Yes
HAA_EASYEXPAT,HAA,,,,Yes,Yes,Yes
HAA_COFFSTV,HAA,,,,Yes,Yes,Yes
HAA_LOVENZ,HAA,,,,Yes,Yes,Yes
HAA_SYDNEYRESERVATIO,HAA,,,,Yes,Yes,Yes
HAA_GLOBALEXPLORER,HAA,,,,Yes,Yes,Yes
HAA_LIDO,HAA,,,,Yes,Yes,Yes
PTM_HOTELCHITCHAT,PTM,,,,Yes,Yes,Yes
PTM_MELLOWTOUR,PTM,,,,Yes,Yes,Yes
HAA_INNZTRAVEL,HAA,,,,Yes,Yes,Yes
HAA_QUEENSTOWNHOTELS,HAA,,,,Yes,Yes,Yes
HAA_ASIAOZ,HAA,,,,Yes,Yes,Yes
PTM_REGALWW,PTM,,,,Yes,Yes,Yes
PTM_LOYODO,PTM,,,,Yes,Yes,Yes
HAA_INTERRAIL,HAA,,,,Yes,Yes,Yes
HAA_HOTELSEARCH,HAA,,,,Yes,Yes,Yes
HAA_EGUIDETRAVEL,HAA,,,,Yes,Yes,Yes
HAA_HOTELBOOKINGS,HAA,,,,Yes,Yes,Yes
HAA_NZDAISUKI,HAA,,,,Yes,Yes,Yes
PTM_ACROSS,PTM,,,,Yes,Yes,Yes
HAA_MOTEL,HAA,,,,Yes,Yes,Yes
HAA_LASTBEDSAUSTRALI,HAA,,,,Yes,Yes,Yes
HAA_TRAVELAROUNDCOMP,HAA,,,,Yes,Yes,Yes
HAA_HOTELIER,HAA,,,,Yes,Yes,Yes
HAA_FINDAROOM,HAA,,,,Yes,Yes,Yes
HAA_WHITEHATTOURS,HAA,,,,Yes,Yes,Yes
HAA_INSIDECITY,HAA,,,,Yes,Yes,Yes
PTM_WORLDCARD,PTM,,,,Yes,Yes,Yes
HAA_ASIANTRAVEL,HAA,,,,Yes,Yes,Yes
HAA_KEIJISHIMIZU,HAA,,,,Yes,Yes,Yes
HAA_AUSBEST,HAA,,,,Yes,Yes,Yes
HAA_BWCOLLEGEPARK,HAA,,,,Yes,Yes,Yes
HAA_ROOM4RENT,HAA,,,,Yes,Yes,Yes
HAA_ARUKIKATA,HAA,,,,Yes,Yes,Yes
HAA_CANCELLATIONS,HAA,,,,Yes,Yes,Yes
HAA_JOHOKAN,HAA,,,,Yes,Yes,Yes
HAA_LODGINGS,HAA,,,,Yes,Yes,Yes
HAA_CHEAPHOTELSGROUP,HAA,,,,Yes,Yes,Yes
HAA_REALDEALHOLIDAYS,HAA,,,,Yes,Yes,Yes
HAA_AGFG,HAA,,,,Yes,Yes,Yes
HAA_CHEAPHOTELBOOKIN,HAA,,,,Yes,Yes,Yes
HAA_COASTSHOP,HAA,,,,Yes,Yes,Yes
HAA_GETAWAYESCAPES,HAA,,,,Yes,Yes,Yes
PTM_CSRGLOBAL,PTM,,,,Yes,Yes,Yes
HAA_HOTELWORLD,HAA,,,,Yes,Yes,Yes
HAA_KIDZWELCOME,HAA,,,,Yes,Yes,Yes
PTM_WEBJETCANADA,PTM,,,,Yes,Yes,Yes
PTM_WEBJETMALTA,PTM,,,,Yes,Yes,Yes
PTM_SINOTOUR,PTM,,,,Yes,Yes,Yes
PTM_ACCOMMODATIONNZ,PTM,,,,Yes,Yes,Yes
PTM_HOTEHOTELS,PTM,,,,Yes,Yes,Yes
PTM_MANYHOTELS,PTM,,,,Yes,Yes,Yes
PTM_ACTTRAVEL,PTM,,,,Yes,Yes,Yes
PTM_FINDESEMANA,PTM,,,,Yes,Yes,Yes
PTM_ODPELJI,PTM,,,,Yes,Yes,Yes
PTM_FINDTOCLICK,PTM,,,,Yes,Yes,Yes
PTM_HOTELACCESS,PTM,,,,Yes,Yes,Yes
PTM_SIAMTRAVEL,PTM,,,,Yes,Yes,Yes
PTM_AKSINDIA,PTM,,,,Yes,Yes,Yes
PTM_HOJUNARA,PTM,,,,Yes,Yes,Yes
PTM_GLOBALHOTELB,PTM,,,,Yes,Yes,Yes
PTM_UCCIRELANDALUMNI,PTM,,,,Yes,Yes,Yes
PTM_NZGOLFCOURSE,PTM,,,,Yes,Yes,Yes
HAA_ROMENAVI,HAA,,,,Yes,Yes,Yes
PTM_GETAROOMUK,PTM,,,,Yes,Yes,Yes
HAA_SUNSETTRAVEL,HAA,,,,Yes,Yes,Yes
HAA_ADAYIN,HAA,,,,Yes,Yes,Yes
HAA_SGTOURISM,HAA,,,,Yes,Yes,Yes
HAA_WORLDACCOMMODATI,HAA,,,,Yes,Yes,Yes
PTM_AVIS_STAFF,PTM,,,,Yes,Yes,Yes
PTM_HELLOUK,PTM,,,,Yes,Yes,Yes
PTM_NEWMITRAPAP,PTM,,,,Yes,Yes,Yes
PTM_MEXICOKANKO,PTM,,,,Yes,Yes,Yes
PTM_BATHUNIVERSITY,PTM,,,,Yes,Yes,Yes
PTM_BLUECASTLE,PTM,,,,Yes,Yes,Yes
PTM_BUYHOTEL,PTM,,,,Yes,Yes,Yes
PTM_NZTOURISMGUIDE,PTM,,,,Yes,Yes,Yes
PTM_BESTHOTELS,PTM,,,,Yes,Yes,Yes
PTM_CONNOISSEURCLUB,PTM,,,,Yes,Yes,Yes
PTM_NSWFARMERS,PTM,,,,Yes,Yes,Yes
PTM_MLCMEMBERREWARDS,PTM,,,,Yes,Yes,Yes
PTM_HUBTRAVEL,PTM,,,,Yes,Yes,Yes
PTM_VIPTRAVELCLUB,PTM,,,,Yes,Yes,Yes
PTM_LUXETRAVEL,PTM,,,,Yes,Yes,Yes
PTM_CONCEPTTOURS,PTM,,,,Yes,Yes,Yes
HAA_IHOTEL,HAA,,,,Yes,Yes,Yes
HAA_AUSTOURNET,HAA,,,,Yes,Yes,Yes
HAA_LISSABONUMGEBUNG,HAA,,,,Yes,Yes,Yes
HAA_MYSTICTRAVEL,HAA,,,,Yes,Yes,Yes
HAA_KOTRAVEL,HAA,,,,Yes,Yes,Yes
HAA_TRAVELDEPOT,HAA,,,,Yes,Yes,Yes
PTM_EQUITYTRAVEL,PTM,,Yes,,,,
PTM_1HONGKONG,PTM,,,,Yes,Yes,Yes
HAA_NEWZEALANDEXPLOR,HAA,,,,Yes,Yes,Yes
HAA_HOTELLINE,HAA,,,,Yes,Yes,Yes
PTM_POLATKAN,PTM,,,,Yes,Yes,Yes
PTM_TRAVELLERSPOINT,PTM,,,,Yes,Yes,Yes
HAA_OZLIFESTYLE,HAA,,,,Yes,Yes,Yes
HAA_IPWEA,HAA,,,,Yes,Yes,Yes
HAA_FOXRATES,HAA,,,,Yes,Yes,Yes
HAA_LATEHOTELS,HAA,,,,Yes,Yes,Yes
HAA_CONCIERGEDESK,HAA,,,,Yes,Yes,Yes
PTM_UNIGLOBEXXXXTRAV,PTM,,,,Yes,Yes,Yes
HAA_EUROTOUR,HAA,,,,Yes,Yes,Yes
PTM_WHOSETRAVEL,PTM,,,,Yes,Yes,Yes
HAA_BRISBANEONLINE,HAA,,,,Yes,Yes,Yes
PTM_TRUTRAVEL,PTM,,,,Yes,Yes,Yes
HAA_REISEBINE,HAA,,,,Yes,Yes,Yes
PTM_EZTRAVEL,PTM,,,,Yes,Yes,Yes
PTM_EUROTRAVEL,PTM,,,,Yes,Yes,Yes
HAA_TRAVELCENTRAL,HAA,,,,Yes,Yes,Yes
PTM_ACCOMMODATIONIN,PTM,,,,Yes,Yes,Yes
PTM_COASTBEACHES,PTM,,,,Yes,Yes,Yes
PTM_LIVEHERE,PTM,,,,Yes,Yes,Yes
PTM_ASIAROOMS,PTM,,,,Yes,Yes,Yes
PTM_BEDANBREAKFAST,PTM,,,,Yes,Yes,Yes
HAA_ROOMBOOKINGS,HAA,,,,Yes,Yes,Yes
PTM_WEBJETSINGAPORE,PTM,,,,Yes,Yes,Yes
PTM_TRAVELTOOLS,PTM,,,,Yes,Yes,Yes
PTM_OURIOS,PTM,,,,Yes,Yes,Yes
HAA_PERTHNEWS,HAA,,,,Yes,Yes,Yes
PTM_MERCADOTOUR,PTM,,,,Yes,Yes,Yes
HAA_UNUSEDROOM,HAA,,,,Yes,Yes,Yes
PTM_GOFEDERAL,PTM,,,,Yes,Yes,Yes
PTM_JETSETBOWRAL,PTM,,,,Yes,Yes,Yes
HAA_FANDFTRAVEL,HAA,,,,Yes,Yes,Yes
HAA_BRISBANEONTHEWEB,HAA,,,,Yes,Yes,Yes
HAA_MTATRAVEL,HAA,,,,Yes,Yes,Yes
PTM_NZMA,PTM,,,,Yes,Yes,Yes
PTM_JUSTCLICKAUSTRA,PTM,,,,Yes,Yes,Yes
PTM_NICETOURTAIWAN,PTM,,,,Yes,Yes,Yes
PTM_RAINBOWTOURISM,PTM,,,,Yes,Yes,Yes
PTM_YBMSISA,PTM,,,,Yes,Yes,Yes
PTM_LIONTRAVEL,PTM,,,,Yes,Yes,Yes
HAA_SPEEDYTRAVEL,HAA,,,,Yes,Yes,Yes
HAA_BEKKOAME,HAA,,,,Yes,Yes,Yes
HAA_GINZ,HAA,,,,Yes,Yes,Yes
HAA_HOTELMR,HAA,,,,Yes,Yes,Yes
